video,psnr_raw,ssim_raw,lpips_raw,psnr_h264,ssim_h264,lpips_h264
TG_t_FC6ORME56YI7BAAA4ILLU2PVMQ_59CT1_0118_uPviL,27.8126,1.0000,0.1311,26.8053,1.0000,0.1555
TG_t_JY6GO4FVZUI7BAAA4ILLU2XMYI_DT159_0015_HWyS0,29.3684,1.0000,0.0805,28.8657,1.0000,0.0961
fcw_t_3A5BHIGLCII7BAAAUBNOSWIM7Y_ymeHr_0021_nLXzm,33.1610,1.0000,0.0572,31.8054,1.0000,0.0696
fcw_t_TCRZL4F6MQI7BAAAUBNOSWGSHA_4989D_0149_aGqOu,31.7893,1.0000,0.0914,30.7542,1.0000,0.1051
fcw_t_ZNO544E5OAI7BAAAUBNOSWGT4Y_aGWym_0164_Puifa,34.0725,1.0000,0.0770,32.4440,1.0000,0.0919
sHarshBraking_t_AFUUJYETYII7BAAAUBNOSWHEBI_GWySu_0017_88999,29.4804,1.0000,0.0613,27.7553,1.0000,0.0767
sHarshBraking_t_D6NDOUFWTAI7BAAA4ILLU2SJQU_ymebb_0020_eHXym,35.0414,1.0000,0.0495,34.2124,1.0000,0.0680
sHarshBraking_t_KFVYJ4GOAMI7BAAA4ILLU2PMHQ_8Cnfb_0014_S1zTu,30.3039,1.0000,0.1132,29.5506,1.0000,0.1348
sHarshBraking_t_QVW3CIGNLAI7BAAA4ILLU2XMYI_WySuP_0007_OuO14,28.2903,1.0000,0.0797,27.5919,1.0000,0.0937
sHarshBraking_t_YFRNDUFWHMI7BAAA4ILLU3IC7Q_9DTvP_0063_rO0yT,26.1473,1.0000,0.1287,25.6063,0.9999,0.1537
MEAN,30.5467,1.0000,0.0870,29.5391,1.0000,0.1045
